rank,package_name,transitive_reach
728,postcss-overflow-shorthand,3420
729,eslint-plugin-testing-library,3420
730,adm-zip,3420
731,postcss-focus-within,3420
732,postcss-double-position-gradients,3420
733,hastscript,3420
734,lodash.difference,3420
735,path-root-regex,3420
736,css-has-pseudo,3420
737,path-root,3420
738,css-blank-pseudo,3420
739,css-prefers-color-scheme,3420
740,tinybench,3420
741,request-progress,3420
742,svg-tags,3420
743,inline-style-parser,3420
744,@types/js-yaml,3420
745,why-is-node-running,3420
746,lodash.isfunction,3420
747,@npmcli/node-gyp,3420
748,flush-write-stream,3420
749,postcss-gap-properties,3420
750,cssdb,3420
751,@next/eslint-plugin-next,3420
752,parse-node-version,3420
753,change-case-all,3420
754,postcss-color-functional-notation,3420
755,real-require,3420
756,detect-file,3420
757,array-ify,3420
758,postcss-font-variant,3420
759,es6-weak-map,3420
760,postcss-replace-overflow-wrap,3420
761,limiter,3420
762,postcss-focus-visible,3420
763,lazy-ass,3420
764,postcss-lab-function,3420
765,base64id,3420
766,postcss-dir-pseudo-class,3420
767,ioredis,3420
768,postcss-logical,3420
769,@babel/plugin-transform-react-constant-elements,3420
770,property-information,3420
771,mdast-util-to-markdown,3420
772,os-browserify,3420
773,mlly,3420
774,@emotion/styled,3420
775,pino-abstract-transport,3420
776,read-package-json-fast,3420
777,mdast-util-to-hast,3420
778,semver-compare,3420
779,client-only,3420
780,bson,3420
781,conventional-changelog-angular,3420
782,@octokit/rest,3420
783,sharp,3420
784,nodemon,3420
785,archy,3420
786,findup-sync,3420
787,latest-version,3420
788,is-hexadecimal,3420
789,from2,3420
790,@sentry/node,3420
791,p-defer,3420
792,console-browserify,3420
793,graphql-tag,3420
794,vm-browserify,3420
795,@svgr/babel-preset,3420
796,miller-rabin,3420
797,cheerio-select,3420
798,domain-browser,3420
799,is-module,3420
800,yargs-unparser,3420
801,is-alphabetical,3420
802,github-slugger,3420
803,jest-jasmine2,3420
804,pkg-types,3420
805,is-decimal,3420
806,is-alphanumerical,3420
807,https-browserify,3420
808,@vue/compiler-dom,3420
809,styled-jsx,3420
810,lodash.isarguments,3420
811,hexoid,3420
812,p-queue,3420
813,toposort,3420
814,micromark-util-sanitize-uri,3420
815,mongodb,3420
816,@mapbox/node-pre-gyp,3420
817,is-unc-path,3420
818,grapheme-splitter,3420
819,needle,3420
820,micromark-core-commonmark,3420
821,is-absolute,3420
822,micromark-util-subtokenize,3420
823,micromark-util-normalize-identifier,3420
824,unc-path-regex,3420
825,micromark-factory-whitespace,3420
826,pg,3420
827,vitest,3420
828,micromark-util-combine-extensions,3420
829,npm,3420
830,@npmcli/git,3420
831,micromark-factory-label,3420
832,micromark-factory-title,3420
833,micromark-factory-destination,3420
834,micromark-util-html-tag-name,3420
835,teeny-request,3420
836,@mdx-js/react,3420
837,webpack-bundle-analyzer,3420
838,micromark-util-decode-string,3420
839,micromark-util-classify-character,3420
840,json-stable-stringify,3420
841,micromark-util-resolve-all,3420
842,array.prototype.reduce,3420
843,lodash.flattendeep,3420
844,jsonify,3420
845,yup,3420
846,querystring-es3,3420
847,copy-anything,3420
848,fast-redact,3420
849,d3-timer,3420
850,cluster-key-slot,3420
851,thread-stream,3420
852,@webpack-cli/info,3420
853,@webpack-cli/configtest,3420
854,markdown-it,3420
855,postcss-safe-parser,3420
856,is-relative,3420
857,value-or-promise,3420
858,dargs,3420
859,micromark-util-decode-numeric-character-reference,3420
860,prebuild-install,3420
861,lodash.startcase,3420
862,columnify,3420
863,msw,3420
864,vuex,3420
865,hermes-profile-transformer,3420
866,object-path,3420
867,vue-style-loader,3420
868,react-intl,3420
869,xmldom,3420
870,html-to-text,3420
871,html-dom-parser,3420
872,rollup-plugin-visualizer,3420
873,@vercel/nft,3420
874,@lezer/lr,3420
875,workbox-webpack-plugin,3420
876,appdirsjs,3420
877,@rushstack/rig-package,3420
878,rx,3420
879,@lezer/common,3420
880,async-sema,3420
881,@google-cloud/firestore,3420
882,@aws-sdk/client-iam,3420
883,fastify,3420
884,underscore.string,3420
885,@azure/keyvault-keys,3420
886,walk-sync,3420
887,@angular-eslint/template-parser,3420
888,download,3420
889,gulplog,3420
890,estree-util-visit,3420
891,karma-coverage,3420
892,mdast-util-mdx,3420
893,generic-names,3420
894,babel-plugin-transform-flow-enums,3420
895,conventional-recommended-bump,3420
896,dottie,3420
897,micromark-extension-mdxjs,3420
898,issue-parser,3420
899,micromark-extension-mdx-md,3420
900,logkitty,3420
901,@google-cloud/precise-date,3420
902,@types/pako,3420
903,micromark-util-events-to-acorn,3420
904,outdent,3420
905,async-listen,3420
906,convert-hrtime,3420
907,find-process,3420
908,stream-transform,3420
909,blessed,3420
910,hast-util-to-html,3420
911,jasmine,3420
912,phin,3420
913,sort-package-json,3420
914,@vue/babel-plugin-jsx,3420
915,three,3420
916,webdriverio,3420
917,@antfu/utils,3420
918,devalue,3420
919,stream-json,3420
920,config,3420
921,jimp,3420
922,hast-util-to-estree,3420
923,vscode-json-languageservice,3420
924,listr,3420
925,style-mod,3420
926,monaco-editor,3420
927,fast-memoize,3420
928,@jimp/types,3420
929,signale,3420
930,hook-std,3420
931,express-rate-limit,3420
932,tedious,3420
933,@types/readable-stream,3420
934,markdown-extensions,3420
935,@semantic-release/commit-analyzer,3420
936,enzyme,3420
937,gulp,3420
938,abortcontroller-polyfill,3420
939,@semantic-release/release-notes-generator,3420
940,png-js,3420
941,tlds,3420
942,express-session,3420
943,@types/ramda,3420
944,dotenv-cli,3420
945,tmp-promise,3420
946,csv-generate,3420
947,@types/ua-parser-js,3420
948,@types/compression,3420
949,walkdir,3420
950,should,3420
951,load-tsconfig,3420
952,preact-render-to-string,3420
953,bundle-require,3420
954,firebase-admin,3420
955,webdriver,3420
956,@microsoft/tsdoc-config,3420
957,isomorphic-unfetch,3420
958,destr,3420
959,lunr,3420
960,vue-loader,3420
961,parse-cache-control,3420
962,conventional-changelog-preset-loader,3420
963,ky,3420
964,strip-bom-string,3420
965,stylus-loader,3420
966,@wdio/config,3420
967,sequelize-pool,3420
968,conventional-changelog-core,3420
969,fdir,3420
970,@swc/jest,3420
971,marked-terminal,3420
972,@firebase/auth-types,3420
973,@types/which,3420
974,@graphql-codegen/typed-document-node,3420
975,consolidate,3420
976,seedrandom,3420
977,@firebase/remote-config,3420
978,@firebase/performance,3420
979,which-pm,3420
980,abstract-logging,3420
981,@firebase/firestore,3420
982,front-matter,3420
983,remark,3420
984,union,3420
